mite ID,zone ID,status,max diff,local diff,recording
mite_0024,alive,dead,11.0,9.666666666666666,10
mite_0024,alive,dead,12.0,10.666666666666666,11
mite_0024,alive,dead,11.0,10.333333333333334,12
mite_0025,dead,dead,11.0,10.666666666666666,1
mite_0025,dead,dead,13.0,11.0,2
mite_0025,dead,dead,12.0,11.333333333333334,3
mite_0025,dead,dead,12.0,11.0,4
mite_0025,dead,dead,11.0,10.666666666666666,5
mite_0025,dead,dead,12.0,11.333333333333334,6
mite_0025,dead,dead,13.0,12.333333333333334,7
mite_0025,dead,dead,12.0,11.333333333333334,8
mite_0025,dead,dead,11.0,10.0,9
mite_0025,dead,dead,11.0,10.666666666666666,10
mite_0025,dead,dead,14.0,12.0,11
mite_0025,dead,dead,11.0,11.0,12
mite_0026,alive,alive,53.0,47.666666666666664,1
mite_0026,alive,alive,57.0,46.666666666666664,2
mite_0026,alive,dead,11.0,10.333333333333334,3
mite_0026,alive,dead,15.0,14.0,4
mite_0026,alive,dead,16.0,14.666666666666666,5
mite_0026,alive,alive,23.0,19.666666666666668,6
mite_0026,alive,alive,40.0,32.666666666666664,7
mite_0026,alive,alive,19.0,17.666666666666668,8
mite_0026,alive,alive,72.0,53.666666666666664,9
mite_0026,alive,alive,30.0,24.666666666666668,10
mite_0026,alive,alive,46.0,34.0,11
mite_0026,alive,alive,37.0,30.666666666666668,12
mite_0027,alive,dead,11.0,10.0,1
mite_0027,alive,dead,12.0,10.0,2
mite_0027,alive,dead,11.0,10.333333333333334,3
mite_0027,alive,dead,13.0,11.0,4
mite_0027,alive,dead,12.0,11.0,5
mite_0027,alive,dead,12.0,11.333333333333334,6
mite_0027,alive,dead,11.0,10.333333333333334,7
mite_0027,alive,alive,30.0,18.666666666666668,8
mite_0027,alive,dead,11.0,10.666666666666666,9
mite_0027,alive,dead,12.0,10.666666666666666,10
mite_0027,alive,dead,13.0,11.333333333333334,11
mite_0027,alive,dead,11.0,10.666666666666666,12
mite_0028,alive,dead,11.0,11.0,1
mite_0028,alive,dead,11.0,10.666666666666666,2
mite_0028,alive,dead,12.0,11.333333333333334,3
mite_0028,alive,dead,13.0,11.0,4
mite_0028,alive,dead,11.0,10.0,5
mite_0028,alive,dead,12.0,11.333333333333334,6
mite_0028,alive,dead,12.0,11.666666666666666,7
mite_0028,alive,dead,11.0,11.0,8
mite_0028,alive,dead,11.0,10.333333333333334,9
mite_0028,alive,dead,12.0,11.666666666666666,10
mite_0028,alive,dead,11.0,11.0,11
mite_0028,alive,dead,13.0,11.666666666666666,12
mite_0029,dead,dead,10.0,9.333333333333334,1
mite_0029,dead,dead,11.0,11.0,2
mite_0029,dead,dead,10.0,10.0,3
mite_0029,dead,dead,10.0,10.0,4
mite_0029,dead,dead,10.0,10.0,5
mite_0029,dead,dead,11.0,10.666666666666666,6
mite_0029,dead,dead,13.0,10.666666666666666,7
mite_0029,dead,dead,11.0,10.333333333333334,8
mite_0029,dead,dead,10.0,9.333333333333334,9
mite_0029,dead,dead,10.0,9.666666666666666,10
mite_0029,dead,dead,10.0,9.333333333333334,11
mite_0029,dead,dead,11.0,9.666666666666666,12
mite_0030,alive,dead,12.0,11.0,1
mite_0030,alive,dead,13.0,12.0,2
mite_0030,alive,alive,65.0,60.666666666666664,3
mite_0030,alive,alive,66.0,58.0,4
mite_0030,alive,dead,14.0,12.0,5
mite_0030,alive,dead,12.0,10.333333333333334,6
mite_0030,alive,alive,28.0,21.0,7
mite_0030,alive,dead,12.0,10.0,8
mite_0030,alive,alive,26.0,22.333333333333332,9
mite_0030,alive,dead,12.0,9.333333333333334,10
mite_0030,alive,dead,12.0,12.0,11
mite_0030,alive,dead,15.0,13.0,12
